domain,images_with_captions
equalizersoccer.com,1
erau.edu,1
erticonetwork.com,1
esahubble.org,1
espnsiouxfalls.com,2
essd.copernicus.org,1
etias.com,1
evergreensmallbusiness.com,1
exeuntmagazine.com,2
exploring-london.com,5
exploringupstate.com,4
fansided.com,10
farmpolicynews.illinois.edu,1
faroutmagazine.co.uk,1
fcpdnews.wordpress.com,1
fieldlevelmedia.com,1
filmfreedonia.com,2
filmmakermagazine.com,1
filmtalk.org,1
filmuforia.com,2
fire.lacounty.gov,1
firstwomen.brightonmuseums.org,1
fitzrovianews.com,2
fivethirtyeight.com,4
flight-report.com,1
footballshirtcollective.com,1
fortune.com,38
fortunoff.library.yale.edu,1
forum.newsblur.com,1
fountain.fm,21
fox5sandiego.com,1
fpc.org.uk,1
fpif.org,1
fr.pinterest.com,1
franklinonfashion.com,2
freedomhouse.org,6
freshfiction.tv,2
fromasecretlocation.com,1
frontstretch.com,1
fssp-holycross.org,1
fullofdance.com,1
future.fandom.com,1
gameofthrones.fandom.com,1
gapersblock.com,1
gazette.com,5
georgewbush-whitehouse.archives.gov,1
georgianera.wordpress.com,4
georginacoburnarts.co.uk,3
gh.bmj.com,1
giallorossiyorkshire.com,1
giftshop.ed.ac.uk,2
gist.github.com,3
global.chinadaily.com.cn,1
global.georgetown.edu,2
globalnews.ca,12
globalsouthcolloquy.com,1
gml.noaa.gov,1
gobroncs.com,1
gobuckeyes.com,2
godanriver.com,1
godeacs.com,1
goingplacesfarandnear.com,1
golf.com,1
golfweek.usatoday.com,1
goodblacknews.org,1
goodmorninggloucester.com,1
goprincetontigers.com,1
gousfbulls.com,2
gppi.net,1
gprejects.com,1
grahamcluley.com,1
grantland.com,1
graphicartistsguild.org,1
graveyardsofscotland.com,1
graziadaily.co.uk,1
greatpyratlanta.com,3
greenbaybobfox.wordpress.com,1
greenwald.substack.com,1
gridironfootballusa.com,1
grist.org,1
group.skanska.com,2
gtspirit.com,1
guyaneseonline.wordpress.com,2
h-e-a-r-t.org,1
hakaimagazine.com,1
harpers.co.uk,1
hauntedpalaceblog.com,2
hayters.com,1
headsetadvisor.com,1
health.clevelandclinic.org,1
health.wusf.usf.edu,6
helenair.com,1
heritagecalling.com,3
historicalnovelsociety.org,1
historicimages.com,1
history.howstuffworks.com,1
hls.harvard.edu,1
holycrossmedicalcenter.org,1
home.coworker.org,1
homeoutletdirect.com,2
hoopshabit.com,1
houseofargyll.com,3
housethathankbuilt.com,1
howlinginfinite.com,1
hrzone.com,1
ibecbarcelona.eu,1
icehockey.fandom.com,1
iconicpix.photoshelter.com,4
idahonews.com,1
ideas.time.com,1
iee.psu.edu,1
ig.ft.com,1
ihouse.berkeley.edu,3
iiseagrant.org,1
imagecollect.com,2
immigrationimpact.com,1
in.pinterest.com,1
india.blogs.nytimes.com,1
ineapple.com,1
inews.co.uk,1
inparallellines.blog,1
insideclimatenews.org,11
insidethevatican.com,1
inss.ndu.edu,1
international.la-croix.com,1
inthesetimes.com,1
iowastatedaily.com,1
ipi.media,1
ipmnewsroom.org,2
irishhistoryfiles.wordpress.com,1
irr.org.uk,1
islandhistory.wordpress.com,2
ivf-surrogate.com,3
ivy.fm,1
jamaica-gleaner.com,1
jamaica.loopnews.com,1
jamesbond.fandom.com,1
jamiebradburnwriting.wordpress.com,1
jannaludlow.co.uk,3
japannews.yomiuri.co.jp,1
jboats.com,1
jbrcapital.com,1
jenmedsbookreviews.com,1
joshmann0201.substack.com,1
joshousing.com,1
joshualandis.com,3
journal.burningman.org,1
journalism.missouri.edu,1
journalstar.com,1
judithcurry.com,1
k945.com,1
kanebridgenewsme.com,2
katv.com,1
keanradio.com,1
keepingitheel.com,1
kevin6ca.substack.com,1
kfoxtv.com,1
khelnow.com,1
kids.kiddle.co,1
kidtripster.com,1
klofmag.com,1
kluwertaxblog.com,1
knowledge.wharton.upenn.edu,1
komonews.com,2
koreajoongangdaily.joins.com,2
kpcnotebook.scholastic.com,2
kstp.com,1
ktla.com,1
ktvz.com,1
kuwaittimes.com,3
kyleorton.co.uk,2
lacuna.org.uk,1
laist.com,17
lajazzscene.buzz,1
lastwordonsports.com,2
lasvegassun.com,1
law.emory.edu,1
law.ucla.edu,1
learnantiques.com.au,1
ledburypoetry.org.uk,3
legendsofthemultiuniverse.fandom.com,1
liamgillick.info,1
liamodell.com,1
libcom.org,1
library.iccwbo.org,1
link.springer.com,4
linkmybooks.com,1
linksinc.org,2
literarytreats.com,1
littlevillagemag.com,1
live959.com,1
livesofthefirstworldwar.iwm.org.uk,3
lobandsmash.com,1
londoncallingblog.net,1
londontravelplanning.com,1
lucire.com,1
lusakavoice.com,1
lutheranworld.org,1
lwvpdx.org,1
