Rank,Filter Type,Sample Count,Accuracy,Precision,Recall,F1 Score,Avg Inference Time (s),Avg Evidence Count
1,Similarity Only,936,0.7895,0.7601,0.8601,0.8071,7.44,1.34
1,Domain Only,941,0.6249,0.5971,0.8371,0.6970,4.78,1.21
1,Both,929,0.7998,0.7892,0.8291,0.8086,6.01,0.97
2,Similarity Only,938,0.7783,0.7532,0.8441,0.7961,7.20,2.29
2,Domain Only,940,0.6543,0.6217,0.8320,0.7116,4.58,1.71
2,Both,936,0.8130,0.7961,0.8512,0.8227,5.82,1.23
3,Similarity Only,945,0.7651,0.7431,0.8289,0.7836,8.45,3.00
3,Domain Only,946,0.6607,0.6302,0.8186,0.7121,4.45,1.94
3,Both,941,0.8077,0.7934,0.8474,0.8195,6.36,1.30
